                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.765,                 4.4266,                 1.6367,                0.00358,                0.35057,                0.00567,                0.00195,                 1.9746,                 4.1819,                 1.2176,             0.00012861,             0.00012861,             0.00012861
                      2,                 2.3202,                 4.1234,                 1.4154,                0.00402,                0.44955,                 0.0072,                0.00277,                 1.9444,                  4.096,                  1.126,             0.00013711,             0.00013711,             0.00013711
                      1,                  2.765,                 4.4266,                 1.6367,                0.00358,                0.35057,                0.00567,                0.00195,                 1.9746,                 4.1819,                 1.2176,             0.00012861,             0.00012861,             0.00012861
